job_id,job_title,company_name,industry,company_size,city,city_full,education,experience,salary_range,salary_low,salary_high,salary_level,required_skills,is_full_time,is_headhunter,publish_date
JOB00020,数据分析实习生,猿辅导,教育,10000人,长沙,湖南长沙,本科,10年以上,6K-10K,6000,10000,中初级(8K-15K),Tableau|Excel|数据仓库|R|ETL|数据建模|Power BI,全职,否,2025-02-15
JOB00021,数据分析师,途牛,旅游,1000人,苏州,江苏苏州,本科,10年以上,15K-20K,15000,20000,中级(15K-25K),深度学习|数据仓库|A/B测试|埋点分析|Tableau|Power BI|数据建模|增长分析,全职,否,2025-02-09
JOB00022,数据分析师(偏算法),伊利,消费品,50000人,佛山,广东佛山,本科,1-3年,15K-20K,15000,20000,中级(15K-25K),ETL|大数据|数据建模|NLP|Python,全职,是,2025-03-02
JOB00023,增长数据分析师,字节跳动,互联网/IT,50000人,长沙,湖南长沙,硕士,3-5年,8K-12K,8000,12000,中初级(8K-15K),数据仓库|竞品分析|Hive|NLP|SQL|Tableau,全职,是,2025-02-18
JOB00024,用户数据分析师,京东,互联网/IT,50000人,重庆,重庆,本科,1-3年,6K-10K,6000,10000,中初级(8K-15K),数据挖掘|NLP|Python|统计分析|R,全职,否,2025-03-25
JOB00025,数据分析专员,中国一汽,汽车,50000人,佛山,广东佛山,硕士,10年以上,8K-12K,8000,12000,中初级(8K-15K),Hive|SQL|SPSS|增长分析,全职,否,2025-04-26
JOB00026,数据分析师,联合利华,消费品,50000人,西安,陕西西安,本科,5-10年,10K-15K,10000,15000,中初级(8K-15K),数据清洗|R|Spark|统计分析|A/B测试|NLP,全职,是,2025-04-11
JOB00027,数据分析师(偏BI),达能,消费品,10000人,深圳,广东深圳,博士,1-3年,15K-20K,15000,20000,中级(15K-25K),深度学习|数据仓库|机器学习|SQL|Tableau|数据建模|SPSS|回归分析,全职,否,2025-01-20
JOB00028,数据分析师(偏运营),顺丰,物流,50000人,重庆,重庆,硕士,1-3年,12K-18K,12000,18000,中级(15K-25K),数据可视化|回归分析|R,全职,是,2025-01-17
JOB00029,产品数据分析师,同程旅行,旅游,10000人,武汉,湖北武汉,本科,不限,15K-20K,15000,20000,中级(15K-25K),机器学习|埋点分析|Tableau|增长分析|A/B测试|ETL|BI工具,全职,否,2025-06-10
JOB00030,资深数据分析师,vivo,通信/电子,10000人,武汉,湖北武汉,本科,5-10年,20K-30K,20000,30000,中高级(25K-40K),用户画像|回归分析|A/B测试|数据可视化,全职,否,2025-05-20
JOB00031,风控数据分析师,饿了么,本地生活,10000人,厦门,福建厦门,本科,3-5年,10K-15K,10000,15000,中初级(8K-15K),SPSS|埋点分析|Excel|A/B测试|ETL|深度学习|指标体系|用户画像,全职,否,2025-07-08
JOB00032,数据分析经理,元气森林,消费品,1000人,南京,江苏南京,硕士,3-5年,25K-35K,25000,35000,中高级(25K-40K),NLP|BI工具|Excel|Spark|Hive|指标体系|回归分析,全职,是,2025-06-23
JOB00033,增长数据分析师,字节跳动,互联网/IT,50000人,广州,广东广州,硕士,1-3年,15K-25K,15000,25000,中级(15K-25K),Spark|Python|数据仓库|数据清洗|Tableau|NLP|Power BI,全职,否,2025-05-20
JOB00034,数据分析师(偏算法),美团,本地生活,50000人,厦门,福建厦门,本科,5-10年,10K-15K,10000,15000,中初级(8K-15K),Spark|SPSS|增长分析|大数据|NLP|数据建模|数据清洗,全职,否,2025-07-17
JOB00035,用户数据分析师,微博,互联网/IT,5000人,南京,江苏南京,本科,不限,8K-12K,8000,12000,中初级(8K-15K),机器学习|数据仓库|Excel|Power BI|数据清洗,全职,否,2025-02-03
JOB00036,数据分析师(偏算法),上汽集团,汽车,50000人,合肥,安徽合肥,本科,3-5年,5K-8K,5000,8000,初级(8K以下),数据可视化|BI工具|回归分析|竞品分析|SQL|数据挖掘,全职,否,2025-03-10
JOB00037,资深数据分析师,蔚来,汽车,10000人,合肥,安徽合肥,本科,10年以上,30K-40K,30000,40000,中高级(25K-40K),大数据|数据清洗|数据建模|Hive,全职,否,2025-06-06
JOB00038,数据分析实习生,好未来,教育,10000人,杭州,浙江杭州,本科,3-5年,6K-10K,6000,10000,中初级(8K-15K),埋点分析|SQL|Excel|指标体系|Hive|Power BI|Spark,全职,是,2025-03-25
JOB00039,高级数据分析师,理想汽车,汽车,5000人,西安,陕西西安,硕士,10年以上,30K-40K,30000,40000,中高级(25K-40K),SQL|增长分析|数据仓库|Python|统计分析|数据清洗,全职,否,2025-02-07
JOB00040,数据分析实习生,腾讯,互联网/IT,50000人,佛山,广东佛山,本科,1-3年,8K-12K,8000,12000,中初级(8K-15K),Spark|竞品分析|数据建模|BI工具,全职,否,2025-07-27
JOB00041,策略数据分析师,中国平安,金融,50000人,苏州,江苏苏州,本科,不限,8K-12K,8000,12000,中初级(8K-15K),数据可视化|竞品分析|R|Excel|回归分析|深度学习,全职,否,2025-06-25
JOB00042,数据分析师,农夫山泉,消费品,10000人,佛山,广东佛山,硕士,5-10年,12K-18K,12000,18000,中级(15K-25K),数据仓库|Hive|埋点分析|统计分析|Excel,全职,否,2025-07-14
JOB00043,数据分析经理,微博,互联网/IT,5000人,广州,广东广州,本科,5-10年,25K-35K,25000,35000,中高级(25K-40K),Power BI|Hive|SPSS|增长分析|ETL|指标体系|数据建模|用户画像,全职,否,2025-06-19
JOB00044,资深数据分析师,雀巢,消费品,10000人,长沙,湖南长沙,硕士,3-5年,35K-50K,35000,50000,高级(40K以上),数据清洗|BI工具|Spark|回归分析|用户画像|埋点分析,全职,否,2025-02-12
JOB00045,数据分析师(偏运营),玛氏,消费品,10000人,长沙,湖南长沙,本科,3-5年,20K-30K,20000,30000,中高级(25K-40K),ETL|R|Excel,全职,是,2025-05-25
JOB00046,高级数据分析师,宝洁,消费品,50000人,青岛,山东青岛,本科,5-10年,25K-35K,25000,35000,中高级(25K-40K),数据清洗|数据可视化|竞品分析|A/B测试|埋点分析,全职,否,2025-06-18
JOB00047,高级数据分析师,大众点评,本地生活,50000人,重庆,重庆,硕士,10年以上,30K-40K,30000,40000,中高级(25K-40K),R|机器学习|Tableau|增长分析|数据仓库|竞品分析|SPSS|NLP,全职,是,2025-05-20
JOB00048,用户数据分析师,伊利,消费品,50000人,广州,广东广州,硕士,1-3年,10K-15K,10000,15000,中初级(8K-15K),竞品分析|数据仓库|Power BI,兼职,是,2025-05-10
JOB00049,数据分析经理,vivo,通信/电子,10000人,青岛,山东青岛,本科,5-10年,18K-25K,18000,25000,中级(15K-25K),机器学习|SPSS|Python|数据建模|大数据|Tableau,全职,否,2025-01-05
JOB00050,数据分析师(偏运营),海康威视,通信/电子,50000人,东莞,广东东莞,硕士,不限,8K-12K,8000,12000,中初级(8K-15K),用户画像|NLP|数据挖掘|深度学习|数据清洗|ETL,全职,否,2025-03-28
JOB00051,高级数据分析师,京东物流,物流,50000人,苏州,江苏苏州,本科,3-5年,25K-35K,25000,35000,中高级(25K-40K),指标体系|R|数据建模|埋点分析,全职,是,2025-04-15
JOB00052,数据分析师(偏算法),作业帮,教育,5000人,苏州,江苏苏州,大专,1-3年,8K-12K,8000,12000,中初级(8K-15K),Excel|埋点分析|数据清洗|数据建模|指标体系|回归分析,兼职,否,2025-04-04
JOB00053,高级数据分析师,途牛,旅游,1000人,南京,江苏南京,本科,5-10年,40K-60K,40000,60000,高级(40K以上),SPSS|数据挖掘|A/B测试,全职,否,2025-04-23
JOB00054,高级数据分析师,农夫山泉,消费品,10000人,郑州,河南郑州,硕士,5-10年,35K-50K,35000,50000,高级(40K以上),Python|Hive|增长分析|机器学习|用户画像|数据建模|SQL,兼职,是,2025-01-25
JOB00055,策略数据分析师,雀巢,消费品,10000人,东莞,广东东莞,大专,5-10年,10K-15K,10000,15000,中初级(8K-15K),数据建模|SPSS|回归分析|Hive|指标体系|大数据,全职,否,2025-04-11
JOB00056,用户数据分析师,饿了么,本地生活,10000人,广州,广东广州,硕士,1-3年,15K-20K,15000,20000,中级(15K-25K),数据可视化|深度学习|BI工具|数据仓库|Python|Spark|Excel|机器学习,全职,是,2025-07-13
JOB00057,商业数据分析师,携程,旅游,50000人,北京,北京,硕士,3-5年,10K-15K,10000,15000,中初级(8K-15K),统计分析|用户画像|BI工具|大数据|指标体系|Spark|Python,全职,是,2025-03-15
JOB00058,增长数据分析师,微博,互联网/IT,5000人,广州,广东广州,大专,3-5年,15K-25K,15000,25000,中级(15K-25K),A/B测试|数据仓库|SQL|Hive,兼职,是,2025-01-15
JOB00059,用户数据分析师,OPPO,通信/电子,10000人,杭州,浙江杭州,本科,5-10年,10K-15K,10000,15000,中初级(8K-15K),深度学习|大数据|NLP|数据清洗|Spark|数据仓库,全职,是,2025-05-17
JOB00060,资深数据分析师,联想,通信/电子,50000人,深圳,广东深圳,本科,5-10年,35K-50K,35000,50000,高级(40K以上),数据建模|深度学习|SQL|A/B测试|增长分析|BI工具|回归分析,全职,否,2025-04-12
JOB00061,数据分析师(偏算法),大众点评,本地生活,50000人,天津,天津,硕士,3-5年,25K-35K,25000,35000,中高级(25K-40K),竞品分析|数据清洗|回归分析|数据可视化,全职,是,2025-01-11
JOB00062,数据分析专员,作业帮,教育,5000人,郑州,河南郑州,本科,3-5年,18K-25K,18000,25000,中级(15K-25K),Python|Power BI|ETL|回归分析|机器学习|Tableau,全职,否,2025-05-15
JOB00063,数据分析经理,阿里巴巴,互联网/IT,50000人,杭州,浙江杭州,本科,5-10年,30K-40K,30000,40000,中高级(25K-40K),机器学习|用户画像|竞品分析|数据可视化|指标体系,全职,是,2025-03-21
JOB00064,资深数据分析师,微博,互联网/IT,5000人,天津,天津,大专,3-5年,18K-25K,18000,25000,中级(15K-25K),数据清洗|增长分析|Excel|Hive|Tableau,全职,否,2025-03-01
JOB00065,数据分析专员,百度,互联网/IT,50000人,长沙,湖南长沙,硕士,1-3年,10K-15K,10000,15000,中初级(8K-15K),ETL|Hive|回归分析|埋点分析,全职,否,2025-01-20
JOB00066,商业数据分析师,理想汽车,汽车,5000人,佛山,广东佛山,硕士,3-5年,12K-18K,12000,18000,中级(15K-25K),指标体系|数据建模|Spark|深度学习|埋点分析|SQL,全职,否,2025-03-22
JOB00067,用户数据分析师,途牛,旅游,1000人,成都,四川成都,本科,10年以上,35K-50K,35000,50000,高级(40K以上),Hive|竞品分析|数据建模|Spark|A/B测试|R|数据可视化|大数据,全职,是,2025-03-19
JOB00068,数据分析师,蒙牛,消费品,50000人,苏州,江苏苏州,大专,5-10年,10K-15K,10000,15000,中初级(8K-15K),NLP|埋点分析|BI工具|增长分析|Python|用户画像|大数据,全职,否,2025-07-26
JOB00069,用户数据分析师,360数科,金融,5000人,佛山,广东佛山,硕士,1-3年,8K-12K,8000,12000,中初级(8K-15K),BI工具|增长分析|NLP|埋点分析|数据挖掘|Power BI|指标体系|Tableau,全职,否,2025-03-26
JOB00070,用户数据分析师,菜鸟,物流,10000人,上海,上海,本科,5-10年,6K-10K,6000,10000,中初级(8K-15K),增长分析|Hive|SPSS|R|Power BI,全职,否,2025-03-17
JOB00071,数据分析经理,陌陌,互联网/IT,5000人,西安,陕西西安,硕士,3-5年,30K-40K,30000,40000,中高级(25K-40K),增长分析|NLP|机器学习|数据挖掘|Tableau,全职,否,2025-06-24
JOB00072,数据分析师(偏运营),小鹏汽车,汽车,5000人,天津,天津,本科,5-10年,4K-6K,4000,6000,初级(8K以下),Spark|统计分析|埋点分析,全职,否,2025-04-27
JOB00073,数据分析师(偏运营),安居客,房产,5000人,广州,广东广州,硕士,3-5年,12K-18K,12000,18000,中级(15K-25K),用户画像|数据清洗|指标体系|Excel|深度学习,全职,否,2025-06-14
JOB00074,高级数据分析师,小米,通信/电子,10000人,杭州,浙江杭州,大专,5-10年,40K-60K,40000,60000,高级(40K以上),数据清洗|数据仓库|Power BI,全职,否,2025-05-14
JOB00075,用户数据分析师,海康威视,通信/电子,50000人,合肥,安徽合肥,硕士,5-10年,12K-18K,12000,18000,中级(15K-25K),竞品分析|统计分析|R,兼职,否,2025-07-12
JOB00076,数据分析师(偏BI),蚂蚁集团,互联网/IT,10000人,重庆,重庆,本科,10年以上,10K-15K,10000,15000,中初级(8K-15K),R|Tableau|NLP|深度学习|Spark,全职,是,2025-06-20
JOB00077,数据分析实习生,腾讯,互联网/IT,50000人,上海,上海,本科,1-3年,5K-8K,5000,8000,初级(8K以下),Excel|深度学习|BI工具|数据仓库,全职,是,2025-02-26
JOB00078,用户数据分析师,字节跳动,互联网/IT,50000人,西安,陕西西安,硕士,1-3年,6K-10K,6000,10000,中初级(8K-15K),Tableau|埋点分析|NLP|SQL,全职,是,2025-07-08
JOB00079,数据分析师(偏运营),饿了么,本地生活,10000人,北京,北京,本科,不限,15K-25K,15000,25000,中级(15K-25K),增长分析|Excel|大数据,全职,否,2025-05-04
JOB00080,资深数据分析师,中通快递,物流,10000人,大连,辽宁大连,本科,5-10年,30K-40K,30000,40000,中高级(25K-40K),ETL|A/B测试|Spark|指标体系|SQL|Python|大数据|数据可视化,全职,否,2025-01-11
JOB00081,增长数据分析师,大疆,通信/电子,10000人,深圳,广东深圳,本科,3-5年,12K-18K,12000,18000,中级(15K-25K),数据可视化|用户画像|ETL|A/B测试|Spark,全职,否,2025-07-23
JOB00082,商业数据分析师,小米,通信/电子,10000人,天津,天津,硕士,1-3年,10K-15K,10000,15000,中初级(8K-15K),机器学习|深度学习|Spark|数据可视化|Hive|Tableau,全职,否,2025-03-12
JOB00083,高级数据分析师,海康威视,通信/电子,50000人,青岛,山东青岛,本科,10年以上,20K-30K,20000,30000,中高级(25K-40K),增长分析|统计分析|数据挖掘|Power BI|数据仓库|Python|回归分析|NLP,全职,否,2025-07-14
JOB00084,商业数据分析师,网易,互联网/IT,50000人,苏州,江苏苏州,本科,3-5年,12K-18K,12000,18000,中级(15K-25K),埋点分析|大数据|数据清洗|NLP,全职,是,2025-03-04
JOB00085,风控数据分析师,达能,消费品,10000人,东莞,广东东莞,本科,3-5年,12K-18K,12000,18000,中级(15K-25K),用户画像|埋点分析|指标体系|数据仓库|SQL|NLP|深度学习,全职,否,2025-02-09
JOB00086,策略数据分析师,元气森林,消费品,1000人,长沙,湖南长沙,本科,1-3年,6K-10K,6000,10000,中初级(8K-15K),Excel|Power BI|增长分析|指标体系|SQL|NLP,全职,否,2025-04-15
JOB00087,数据分析实习生,58同城,本地生活,10000人,成都,四川成都,本科,5-10年,6K-10K,6000,10000,中初级(8K-15K),Excel|Python|Power BI|SPSS|用户画像|深度学习|埋点分析,全职,是,2025-04-09
JOB00088,策略数据分析师,度小满,金融,5000人,大连,辽宁大连,本科,3-5年,8K-12K,8000,12000,中初级(8K-15K),大数据|ETL|埋点分析|A/B测试|Python|数据清洗|数据可视化,全职,否,2025-02-10
JOB00089,数据分析经理,度小满,金融,5000人,杭州,浙江杭州,硕士,5-10年,20K-30K,20000,30000,中高级(25K-40K),Hive|SPSS|Power BI|数据可视化|数据仓库|竞品分析|数据清洗|ETL,全职,否,2025-06-02
JOB00090,数据分析师(偏BI),顺丰,物流,50000人,北京,北京,本科,不限,8K-12K,8000,12000,中初级(8K-15K),数据可视化|竞品分析|指标体系|Hive|A/B测试|Tableau|NLP,全职,是,2025-07-20
JOB00091,数据分析实习生,猿辅导,教育,10000人,重庆,重庆,大专,5-10年,6K-10K,6000,10000,中初级(8K-15K),ETL|Excel|数据可视化|A/B测试|增长分析|机器学习,全职,是,2025-05-17
JOB00092,数据分析专员,中信证券,金融,10000人,重庆,重庆,本科,10年以上,15K-20K,15000,20000,中级(15K-25K),Tableau|Power BI|数据建模|R,全职,是,2025-07-21
JOB00093,数据分析实习生,B站,互联网/IT,5000人,成都,四川成都,大专,3-5年,4K-6K,4000,6000,初级(8K以下),Spark|埋点分析|回归分析|指标体系|BI工具|用户画像|机器学习,全职,否,2025-04-21
JOB00094,数据分析经理,农夫山泉,消费品,10000人,西安,陕西西安,本科,5-10年,25K-35K,25000,35000,中高级(25K-40K),Python|NLP|统计分析|A/B测试|Excel|指标体系,全职,否,2025-04-19
JOB00095,数据分析实习生,百度,互联网/IT,50000人,厦门,福建厦门,本科,3-5年,4K-6K,4000,6000,初级(8K以下),ETL|Power BI|Python|Spark|Tableau|机器学习,全职,否,2025-06-15
JOB00096,用户数据分析师,菜鸟,物流,10000人,大连,辽宁大连,本科,1-3年,10K-15K,10000,15000,中初级(8K-15K),Hive|BI工具|机器学习|埋点分析|用户画像|Python,全职,否,2025-01-11
JOB00097,策略数据分析师,蚂蚁集团,互联网/IT,10000人,天津,天津,硕士,1-3年,15K-20K,15000,20000,中级(15K-25K),NLP|Power BI|机器学习|Excel|回归分析|埋点分析|深度学习,全职,否,2025-06-23
JOB00098,数据分析师(偏BI),小鹏汽车,汽车,5000人,杭州,浙江杭州,本科,10年以上,8K-12K,8000,12000,中初级(8K-15K),数据挖掘|机器学习|Power BI|埋点分析|竞品分析|BI工具|ETL|Excel,全职,否,2025-03-01
JOB00099,数据分析经理,自如,房产,5000人,苏州,江苏苏州,本科,10年以上,30K-40K,30000,40000,中高级(25K-40K),数据清洗|Power BI|Excel|A/B测试,全职,否,2025-05-02
JOB00100,数据分析师(偏算法),58同城,本地生活,10000人,佛山,广东佛山,本科,3-5年,6K-10K,6000,10000,中初级(8K-15K),BI工具|用户画像|数据挖掘|SPSS|增长分析|Spark|Python|Hive,全职,否,2025-04-20
JOB00101,风控数据分析师,伊利,消费品,50000人,厦门,福建厦门,本科,1-3年,30K-40K,30000,40000,中高级(25K-40K),深度学习|R|统计分析|埋点分析|回归分析|Spark,全职,否,2025-04-17
JOB00102,数据分析专员,飞猪,旅游,50000人,合肥,安徽合肥,博士,5-10年,15K-25K,15000,25000,中级(15K-25K),Python|指标体系|大数据|NLP|统计分析,全职,否,2025-07-17
JOB00103,数据分析师(偏运营),OPPO,通信/电子,10000人,苏州,江苏苏州,本科,1-3年,10K-15K,10000,15000,中初级(8K-15K),深度学习|Hive|Excel|数据清洗,全职,否,2025-01-14
JOB00104,产品数据分析师,网易,互联网/IT,50000人,郑州,河南郑州,本科,1-3年,40K-60K,40000,60000,高级(40K以上),SQL|机器学习|Tableau|深度学习,全职,否,2025-02-05
JOB00105,风控数据分析师,京东,互联网/IT,50000人,苏州,江苏苏州,硕士,3-5年,18K-25K,18000,25000,中级(15K-25K),大数据|Spark|用户画像|SQL|Excel|BI工具|数据建模|R,全职,否,2025-06-20
JOB00106,数据分析师,飞猪,旅游,50000人,合肥,安徽合肥,本科,1-3年,8K-12K,8000,12000,中初级(8K-15K),Hive|指标体系|数据挖掘|用户画像,全职,否,2025-04-20
JOB00107,用户数据分析师,同程旅行,旅游,10000人,北京,北京,本科,3-5年,15K-20K,15000,20000,中级(15K-25K),SQL|用户画像|统计分析|数据清洗|回归分析|Hive,全职,是,2025-05-12
JOB00108,数据分析师,小红书,互联网/IT,5000人,大连,辽宁大连,本科,5-10年,10K-15K,10000,15000,中初级(8K-15K),NLP|大数据|Python|指标体系|数据可视化|统计分析,全职,是,2025-07-03
JOB00109,增长数据分析师,贝壳找房,房产,10000人,南京,江苏南京,硕士,3-5年,15K-25K,15000,25000,中级(15K-25K),Power BI|Python|统计分析|数据仓库|机器学习,全职,否,2025-07-22
JOB00110,风控数据分析师,好未来,教育,10000人,青岛,山东青岛,本科,5-10年,5K-8K,5000,8000,初级(8K以下),Python|A/B测试|R|NLP|数据挖掘|BI工具,全职,否,2025-04-27
JOB00111,产品数据分析师,途牛,旅游,1000人,青岛,山东青岛,本科,5-10年,8K-12K,8000,12000,中初级(8K-15K),NLP|指标体系|机器学习,全职,是,2025-04-13
JOB00112,产品数据分析师,菜鸟,物流,10000人,郑州,河南郑州,本科,1-3年,15K-20K,15000,20000,中级(15K-25K),数据建模|数据挖掘|Excel|增长分析|Hive|深度学习|BI工具,全职,否,2025-05-10
JOB00113,数据分析实习生,饿了么,本地生活,10000人,广州,广东广州,本科,3-5年,8K-12K,8000,12000,中初级(8K-15K),Hive|SPSS|竞品分析|Spark|统计分析|BI工具|Python|增长分析,全职,否,2025-01-03
JOB00114,数据分析师,比亚迪,汽车,50000人,重庆,重庆,本科,5-10年,6K-10K,6000,10000,中初级(8K-15K),NLP|用户画像|埋点分析|数据挖掘,全职,否,2025-02-25
JOB00115,策略数据分析师,自如,房产,5000人,重庆,重庆,本科,3-5年,12K-18K,12000,18000,中级(15K-25K),统计分析|NLP|Spark|BI工具|Excel|回归分析,全职,是,2025-03-21
JOB00116,数据分析师(偏运营),达能,消费品,10000人,南京,江苏南京,博士,不限,6K-10K,6000,10000,中初级(8K-15K),数据仓库|Tableau|数据建模|BI工具|数据挖掘|竞品分析,兼职,否,2025-03-23
JOB00117,资深数据分析师,微博,互联网/IT,5000人,武汉,湖北武汉,本科,3-5年,20K-30K,20000,30000,中高级(25K-40K),Spark|Excel|数据挖掘|埋点分析|机器学习|BI工具|统计分析|深度学习,全职,否,2025-06-23
JOB00118,数据分析专员,工商银行,金融,50000人,重庆,重庆,本科,1-3年,8K-12K,8000,12000,中初级(8K-15K),数据挖掘|大数据|SQL|统计分析,全职,否,2025-07-18
JOB00119,增长数据分析师,vivo,通信/电子,10000人,佛山,广东佛山,硕士,不限,10K-15K,10000,15000,中初级(8K-15K),大数据|ETL|Hive|BI工具|数据挖掘|回归分析|Excel|Power BI,全职,否,2025-04-15
JOB00120,数据分析实习生,去哪儿,旅游,10000人,重庆,重庆,大专,5-10年,5K-8K,5000,8000,初级(8K以下),BI工具|Power BI|Hive|ETL,全职,否,2025-02-06
JOB00121,数据分析师(偏算法),饿了么,本地生活,10000人,南京,江苏南京,本科,10年以上,20K-30K,20000,30000,中高级(25K-40K),数据建模|R|指标体系,全职,否,2025-06-10
JOB00122,数据分析专员,同程旅行,旅游,10000人,深圳,广东深圳,本科,1-3年,25K-35K,25000,35000,中高级(25K-40K),埋点分析|用户画像|增长分析|机器学习,全职,否,2025-07-28
JOB00123,策略数据分析师,美团,互联网/IT,50000人,深圳,广东深圳,大专,3-5年,12K-18K,12000,18000,中级(15K-25K),BI工具|回归分析|Hive|用户画像,全职,否,2025-06-18
JOB00124,用户数据分析师,蒙牛,消费品,50000人,苏州,江苏苏州,本科,5-10年,15K-20K,15000,20000,中级(15K-25K),Excel|竞品分析|Python|SPSS|Spark|Hive,全职,否,2025-05-05
JOB00125,数据分析专员,美团,本地生活,50000人,长沙,湖南长沙,硕士,5-10年,30K-40K,30000,40000,中高级(25K-40K),ETL|数据仓库|Tableau|机器学习|数据清洗,全职,否,2025-02-05
JOB00126,商业数据分析师,蚂蚁集团,互联网/IT,10000人,上海,上海,本科,3-5年,12K-18K,12000,18000,中级(15K-25K),深度学习|机器学习|回归分析|增长分析,全职,否,2025-04-17
JOB00127,数据分析师(偏BI),好未来,教育,10000人,青岛,山东青岛,硕士,3-5年,6K-10K,6000,10000,中初级(8K-15K),Spark|数据清洗|R|回归分析|统计分析|Python|竞品分析,全职,是,2025-07-21
JOB00128,资深数据分析师,作业帮,教育,5000人,苏州,江苏苏州,本科,5-10年,20K-30K,20000,30000,中高级(25K-40K),增长分析|统计分析|BI工具|数据可视化|Python,全职,否,2025-01-13
JOB00129,策略数据分析师,陌陌,互联网/IT,5000人,厦门,福建厦门,硕士,1-3年,35K-50K,35000,50000,高级(40K以上),Tableau|Power BI|NLP|数据可视化|统计分析|机器学习|数据仓库,全职,否,2025-02-20
JOB00130,产品数据分析师,携程,旅游,50000人,郑州,河南郑州,本科,不限,6K-10K,6000,10000,中初级(8K-15K),ETL|Spark|Power BI|用户画像|NLP|数据挖掘,全职,否,2025-02-13
